location,date,vaccine,source_url,total_vaccinations,Actual_Total_Vaccinations,people_vaccinated,Actual_People_Vaccinated,people_fully_vaccinated,total_boosters
India,15-01-2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004927,0,,0,0,0,
India,16-01-2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004928,191181,191181,191181,191181,0,
India,17-01-2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350815129177260034,224301,33120,224301,33120,0,
India,18-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,454049,229748,454049,229748,0,
India,19-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,674835,220786,674835,220786,0,
India,20-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,806484,131649,806484,131649,0,
India,21-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1043534,237050,1043534,237050,0,
India,22-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1390592,347058,1390592,347058,0,
India,23-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1582201,191609,1582201,191609,0,
India,24-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1615504,33303,1615504,33303,0,
India,25-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2023809,408305,2023809,408305,0,
India,26-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2029480,5671,2029480,5671,0,
India,27-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2355979,326499,2355979,326499,0,
India,28-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2928053,572074,2928053,572074,0,
India,29-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3500027,571974,3500027,571974,0,
India,30-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3744334,244307,3744334,244307,0,
India,31-01-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3758843,14509,3758843,14509,0,
India,01-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3950156,191313,3950156,191313,0,
India,02-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4138918,188762,4138918,188762,0,
India,03-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4449552,310634,4449552,310634,0,
India,04-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4959445,509893,4959445,509893,0,
India,05-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5416849,457404,5416849,457404,0,
India,06-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5775322,358473,5775322,358473,0,
India,07-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5812362,37040,5812362,37040,0,
India,08-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6259008,446646,6259008,446646,0,
India,09-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6611561,352553,6611561,352553,0,
India,10-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7017114,405553,7017114,405553,0,
India,11-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7505010,487896,7505010,487896,0,
India,12-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7967647,462637,7967647,462637,0,
India,13-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1697804,8052454,84807,8044786,77139,7668,
India,15-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698251,8516771,464317,8418653,373867,98118,
India,16-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698525,8857341,340570,8641002,222349,216339,
India,17-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698832,9186757,329416,8844641,203639,342116,
India,18-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699157,9846523,659766,9381591,536950,464932,
India,19-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699476,10449942,603419,9693000,311409,756942,
India,20-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699698,10838323,388381,9964383,271383,873940,
India,21-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699735,11085173,246850,10124531,160148,960642,
India,22-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700035,11424094,338921,10308552,184021,1115542,
India,23-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700269,11907392,483298,10585757,277205,1321635,
India,24-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700553,12366633,459241,10884879,299122,1481754,
India,25-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700888,13067047,700414,11206188,321309,1860859,
India,26-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701203,13756940,689893,11552857,346669,2204083,
India,27-02-2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701292,14242547,485607,11788669,235812,2453878,
India,28-02-2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/pdf/CumulativeCovidVaccinationCoverageReportDay43ason28thFebat7am.pdf,14301266,58719,11845075,56406,2456191,
India,01-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport2ndMarch2021.pdf,14854136,552870,12256337,411262,2597799,
India,02-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport2March2021.pdf,15620749,766613,12906771,650434,2713978,
India,03-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport3rdMarch2021.pdf,16616048,995299,13739121,832350,2876927,
India,04-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport4thMarch2021.pdf,18005503,1389455,14796835,1057714,3208668,
India,05-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport5thMarch2021.pdf,19497704,1492201,15996683,1199848,3501021,
India,06-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport6thMarch2021.pdf,20922344,1424640,17168303,1171620,3754041,
India,07-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage7thMarch2021.pdf,20989010,66666,17227903,59600,3761107,
India,08-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport8thMarch2021.pdf,23008733,2019723,18943283,1715380,4065450,
India,09-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport9thMarch2021.pdf,24367906,1359173,20004227,1060944,4363679,
India,10-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport10thMarch2021.pdf,25685011,1317105,21034481,1030254,4650530,
India,11-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationCoverageReport11thMarch2021.pdf,26164920,479909,21435841,401360,4729079,
India,12-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf,28218457,2053537,23075504,1639663,5142953,
India,13-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport13thMarch2021.pdf,29738409,1519952,24307635,1232131,5430774,
India,14-03-2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationreport14thMarch2021.pdf,29908038,169629,24452385,144750,5455653,
